device_type,os_version_key,name,typed_value
Mac,"(13, 0)",supports-key-sharing,
Mac,"(13, 0)",supports-live-delivery,
Mac,"(13, 0)",supports-location-sharing,
Mac,"(13, 0)",supports-maps-protocol-v5,
Mac,"(13, 0)",supports-maps-routing-path-leg,
Mac,"(13, 0)",supports-maps-waypoint-route-sharing,
Mac,"(13, 0)",supports-media-v2,
Mac,"(13, 0)",supports-mirage,
Mac,"(13, 0)",supports-modern-gft,
Mac,"(13, 0)",supports-original-timestamp-v1,
Mac,"(13, 0)",supports-people-request-messages,
Mac,"(13, 0)",supports-photos-extension-v1,
Mac,"(13, 0)",supports-photos-extension-v2,
Mac,"(13, 0)",supports-protobuf-payload-data-v2,
Mac,"(13, 0)",supports-rem,
Mac,"(13, 0)",supports-sa-v1,
Mac,"(13, 0)",supports-screen-time-v2,
Mac,"(13, 0)",supports-secure-loc-v1,
Mac,"(13, 0)",supports-self-one-to-one-invites,
Mac,"(13, 0)",supports-shared-exp,
Mac,"(13, 0)",supports-st-er,
Mac,"(13, 0)",supports-st-v1,
Mac,"(13, 0)",supports-update-attachments-v1,
Mac,"(13, 0)",supports-uwb,False
Mac,"(14, 0)",device-key-signature,
Mac,"(14, 0)",ec-version,1.0
Mac,"(14, 0)",is-c2k-equipment,False
Mac,"(14, 0)",is-green-tea,
Mac,"(14, 0)",is-web-client,
Mac,"(14, 0)",kt-version,5.0
Mac,"(14, 0)",nicknames-version,
Mac,"(14, 0)",optionally-receive-typing-indicators,
Mac,"(14, 0)",prefers-sdr,
Mac,"(14, 0)",show-peer-errors,
Mac,"(14, 0)",supports-ack-v1,
Mac,"(14, 0)",supports-animoji-v2,True
Mac,"(14, 0)",supports-askto,
Mac,"(14, 0)",supports-audio-messaging-v2,
Mac,"(14, 0)",supports-autoloopvideo-v1,
Mac,"(14, 0)",supports-avless,
Mac,"(14, 0)",supports-be-v1,
Mac,"(14, 0)",supports-beacon-sharing-v2,
Mac,"(14, 0)",supports-beacon-sharing-v3,
Mac,"(14, 0)",supports-beneficiary-invites,
Mac,"(14, 0)",supports-ca-v1,
Mac,"(14, 0)",supports-certified-delivery-v1,
Mac,"(14, 0)",supports-co,
Mac,"(14, 0)",supports-cross-platform-sharing,
Mac,"(14, 0)",supports-dq-nr,
Mac,"(14, 0)",supports-emoji-stickers,
Mac,"(14, 0)",supports-family-invite-message-bubble,
Mac,"(14, 0)",supports-findmy-plugin-messages,
Mac,"(14, 0)",supports-fm-fence-v1,
Mac,"(14, 0)",supports-fmd-v2,
Mac,"(14, 0)",supports-fsm-v1,
Mac,"(14, 0)",supports-fsm-v2,
Mac,"(14, 0)",supports-fsm-v3,
Mac,"(14, 0)",supports-gft-calls,
Mac,"(14, 0)",supports-gft-errors,
Mac,"(14, 0)",supports-gft-relay,
Mac,"(14, 0)",supports-harmony,False
Mac,"(14, 0)",supports-hdr,True
Mac,"(14, 0)",supports-heif,True
Mac,"(14, 0)",supports-hi-res-vid,
Mac,"(14, 0)",supports-hk-resident,
Mac,"(14, 0)",supports-hybrid-groups-v1,
Mac,"(14, 0)",supports-ii-v1,
Mac,"(14, 0)",supports-impact-v1,
Mac,"(14, 0)",supports-incoming-fmd-v1,
Mac,"(14, 0)",supports-inline-attachments,
Mac,"(14, 0)",supports-keep-receipts,
Mac,"(14, 0)",supports-key-sharing,
Mac,"(14, 0)",supports-live-delivery,
Mac,"(14, 0)",supports-location-sharing,
Mac,"(14, 0)",supports-maps-protocol-v5,
Mac,"(14, 0)",supports-maps-routing-path-leg,
Mac,"(14, 0)",supports-maps-waypoint-route-sharing,
Mac,"(14, 0)",supports-media-v2,
Mac,"(14, 0)",supports-mirage,
Mac,"(14, 0)",supports-modern-gft,
Mac,"(14, 0)",supports-original-timestamp-v1,
Mac,"(14, 0)",supports-people-ranging-v1,
Mac,"(14, 0)",supports-people-request-messages,
Mac,"(14, 0)",supports-people-request-messages-v2,
Mac,"(14, 0)",supports-people-request-messages-v3,
Mac,"(14, 0)",supports-photos-extension-v1,
Mac,"(14, 0)",supports-photos-extension-v2,
Mac,"(14, 0)",supports-protobuf-payload-data-v2,
Mac,"(14, 0)",supports-recurring-payment-bubbles,
